lambda,heldout_kspace_err,ssim,n
0.001,0.7535576919714609,0.20826764756899452,6
0.003,0.6042003730932871,0.28894819866133764,6
0.01,0.5450863341490427,0.32977028746942405,6
0.03,0.5334965288639069,0.3041753469116439,6
0.1,0.5458391706148783,0.24574670682941768,6
0.3,0.565742423137029,0.210936169412842,6
