method,subject_id,nrmse,psnr,ssim,measured_kspace_err,heldout_kspace_err,runtime_seconds,num_net_evals,heldout_kspace_err_allcoef,ssim_fullfov,nrmse_fullfov,psnr_fullfov,brain_fraction
comp4_ft,2022101101,0.12078303814673859,27.152814776141753,0.7479048223573649,0.28355060021082557,0.8366726239522299,14.651986996332804,100.0,0.48611535628636676,0.4066372864762114,0.3492012139109872,21.973673830403232,0.2689259847005208
comp4_ft,2022101102,0.11426242486591424,28.201945909183724,0.8293765157036797,0.2796020607153574,0.8228264053662618,14.388837575912476,100.0,0.47047048807144165,0.43957878699098324,0.3410510099445703,22.82229225114504,0.3007965087890625
comp4_ft,2022101103,0.12190019873924314,27.176147551848995,0.7642272374478117,0.2813673019409179,0.8810689647992452,14.593169927597046,100.0,0.48153186837832135,0.42686336011080145,0.34245155236152164,22.614816432730677,0.2777506510416667
comp4_ft,2022101201,0.1207204164569276,26.90686534208714,0.7804710750045976,0.25805897514025367,0.8547971447308859,14.679465452829996,100.0,0.44966710607210797,0.4075038853337776,0.3297920924395428,22.96684272747861,0.260162353515625
comp4_ft,2022101301,0.12366205278651893,25.917072667021618,0.6980174915305969,0.26140361030896503,0.8443081974983215,14.483398675918579,100.0,0.4515642722447713,0.4037642295110005,0.3246630262136054,22.251625150955423,0.20578511555989584
comp4_ft,2022101303,0.11106557694954423,27.0270275211093,0.8707667783847023,0.24545947213967637,0.7921666304270426,14.760015408198038,100.0,0.4269512891769409,0.44350588236617794,0.3055191139984427,24.009221312022493,0.07523600260416667
comp4_ft,2022112704,0.11876974796215056,28.453509490580064,0.7912423134369524,0.2602738539377848,0.8347992300987244,14.521616458892822,100.0,0.4498177170753479,0.45000922153579564,0.3166180764345645,24.229006140324582,0.26214599609375
comp4_ft,2022120401,0.12298513900203784,27.62133242470433,0.7660620164612416,0.2652021447817484,0.8363105257352194,14.73615829149882,100.0,0.4651358524958293,0.4355896608723718,0.3285411753125645,23.313953520165764,0.2919209798177083
comp4_ft,2022120402,0.1219997593995138,27.38838338413001,0.7563646683520839,0.28186601400375366,0.8078391849994659,14.621012449264526,100.0,0.4762311279773712,0.4392829918549749,0.3410784456878799,23.255845195185238,0.120513916015625
comp4_ft,2022120404,0.11523969488040507,28.218683779925527,0.764147999719157,0.25648518403371173,0.8612289627393087,14.494779586791992,100.0,0.44865761200586957,0.43768155980925466,0.3179079573656778,23.755990552753833,0.25665283203125
comp4_ft,2022120406,0.12902552338966533,26.183505706669052,0.7439758965836719,0.26302842299143475,0.7951273918151855,14.702237923940023,100.0,0.455899437268575,0.4431854343433064,0.32280989623118445,23.207278739843463,0.2366943359375
comp4_ft,2022120407,0.12004346935890416,27.563539758865158,0.7560104678863412,0.25810063878695166,0.8018698493639628,14.565983772277832,100.0,0.4456571837266286,0.4370997409358752,0.31807956701785994,23.450684062834473,0.2529856363932292
comp4_ft,2022120408,0.12022671355861997,27.020422281122716,0.7616100526721872,0.25690832734107966,0.8238488833109537,14.74467142422994,100.0,0.44525142510732013,0.4644817776218435,0.3051292595186468,23.068327713662068,0.24932861328125
comp4_ft,2022120409,0.1186948849263542,27.93070126682338,0.7463291805102806,0.26229680577913916,0.8256189028422037,14.461251099904379,100.0,0.45243315895398456,0.42032725203398075,0.3263085079901549,23.346025334311847,0.2844441731770833
comp4_ft,2022121701,0.12432753566307553,25.839143358439653,0.7314141263844834,0.2718149224917094,0.8526164094607035,14.675214846928915,100.0,0.4659908413887024,0.4339158391418046,0.3320037477733674,22.600942344138275,0.20310465494791666
comp4_ft,2022121703,0.12045491855713214,26.069071251793872,0.7118187424344766,0.2922774652640025,0.8570682009061178,14.453836043675741,100.0,0.491345336039861,0.4205489159644194,0.3527248800345563,21.832544807804997,0.102264404296875
comp4_ft,2022121705,0.12586560556510296,25.586551384436092,0.7446042305971051,0.2960859437783559,0.8290994962056478,14.685220082600912,100.0,0.4963225821654002,0.4394954086955949,0.3506350373475844,22.394595704616858,0.11990865071614583
comp4_ft,2022121706,0.11642351785170953,28.825654494910207,0.791072634025748,0.26591822504997253,0.8514339129130045,14.559568166732788,100.0,0.46220235029856366,0.4583583074534677,0.3227110183864519,24.00090780400552,0.3015391031901042
comp4_ft,2022121707,0.11578623987276533,27.61492510894712,0.7736742713133209,0.2866230209668477,0.891690750916799,14.687753995259603,100.0,0.4919268985589345,0.37214644543810865,0.37136731873738893,22.282627090182956,0.24680582682291666
comp4_ft,2022121708,0.12711471556083853,26.818872714827688,0.7560188185098218,0.27911778291066486,0.8751627604166666,14.450731913248697,100.0,0.47797347108523053,0.45197491083506236,0.33289850085617584,23.174757986198227,0.16666666666666666
comp4_merge,2022101101,0.1203279114263129,27.189348953634347,0.7637732077496878,0.43236003319422406,0.8334558407465616,13.963853518168131,100.0,0.48547911643981934,0.4112193504932889,0.3499366958038661,21.95634220144038,0.2689259847005208
comp4_merge,2022101102,0.12005645831677964,27.778310576268662,0.8181364746460509,0.4218998948733012,0.8229451974232992,14.23804267247518,100.0,0.470206876595815,0.4337879263209871,0.34355242800388813,22.76141141418198,0.3007965087890625
comp4_merge,2022101103,0.12964767622901816,26.65185781372756,0.7645908169037486,0.43124515811602276,0.8782804409662882,14.289084672927856,100.0,0.48151888449986774,0.4205724932808772,0.3477054710050364,22.48231828676518,0.2777506510416667
comp4_merge,2022101201,0.12005834526204627,26.956592745209146,0.7871507301000421,0.4009575247764587,0.8534784913063049,14.538646618525187,100.0,0.4496399362881978,0.4119382007664567,0.3288182082222379,22.992998755645903,0.260162353515625
comp4_merge,2022101301,0.12001731817799997,26.177292153399748,0.713164473580035,0.40100375811258954,0.8392054835955302,14.314777533213297,100.0,0.4497394363085429,0.4057181414662007,0.32491544856724835,22.244935431551337,0.20578511555989584
