method,description,views,lines,unique_cols,coverage,ssim_mean,ssim_ci_lo,ssim_ci_hi,nrmse_mean,nrmse_ci_lo,nrmse_ci_hi,heldout_kspace_err_mean,heldout_kspace_err_ci_lo,heldout_kspace_err_ci_hi
classical_adjoint,Classical adjoint,2,64,48,0.188,0.5193095446127444,0.5130318691921227,0.525526829330286,0.2257573117192768,0.2207900259770378,0.2312758277842843,0.9844778466224672,0.9832742745081584,0.985670040766398
classical_l1wav,Classical L1-wavelet,2,64,48,0.188,0.5090436700775084,0.5002475343180776,0.5179050392934458,0.2215010476477652,0.2169369071772723,0.2264109098354907,0.9712628134091694,0.96701695950826,0.9755050023992856
single_r4,Single scan (R=4),1,64,64,0.25,0.6175685786295285,0.5992775839393596,0.6393579832981163,0.1827298208433738,0.1763945758876065,0.1891626525902641,0.8667552844683329,0.8579016891916593,0.8748269281983376
fixed_split_merge,"Fixed budget, merged",2,64,48,0.188,0.5973197614609497,0.5824107754433895,0.6159928181347503,0.1908734358257248,0.1865237601157249,0.1950333425060237,0.8838472890853882,0.8752944450775783,0.8917892132004102
fixed_split_ft,"Fixed budget, xview-FT",2,64,48,0.188,0.6050357293382332,0.5899575793713789,0.6235327784591983,0.187769220681805,0.1835994135081932,0.191756060960558,0.8781485795974732,0.8695751439531643,0.8861527123848597
