method,condition,subject_id,slice_id,seed,num_steps,l_ss,likelihood_type,lambda,runtime_seconds,num_net_evals,nrmse,psnr,ssim,measured_kspace_err,heldout_kspace_err,nrmse_fullfov,psnr_fullfov,ssim_fullfov,brain_fraction,heldout_kspace_err_allcoef
comp4_ft,joint_quad_comp,2022101101,7,0,100,30.0,DPS,,14.946668148040771,100,0.1208768545882645,27.35738700716949,0.7575673432324588,0.2905658781528473,0.871768593788147,0.3592980121197656,21.90601313957218,0.4073635767972629,0.2821807861328125,0.49488547444343567
comp4_ft,joint_quad_comp,2022101101,8,0,100,30.0,DPS,,14.69688892364502,100,0.11811601739504131,27.566608351719417,0.7729075888453917,0.28698015213012695,0.818692147731781,0.34940693715161786,22.204719953522,0.41416461436355057,0.271240234375,0.4884066879749298
comp4_ft,joint_quad_comp,2022101101,9,0,100,30.0,DPS,,14.312403917312622,100,0.12335624245691004,26.534448969536342,0.713239534994244,0.27310577034950256,0.8195571303367615,0.3388986924615782,21.810288398115514,0.39838366826782096,0.25335693359375,0.47505390644073486
comp4_ft,joint_quad_comp,2022101102,4,0,100,30.0,DPS,,14.277040481567383,100,0.12324358883630439,27.55144216972091,0.8131983252532037,0.29126641154289246,0.8163999915122986,0.35646474643974896,22.49304146505892,0.4306586329061372,0.2946929931640625,0.4901480972766876
comp4_ft,joint_quad_comp,2022101102,5,0,100,30.0,DPS,,14.349419593811035,100,0.10463852823483996,28.527328886030624,0.8385533151003418,0.27501198649406433,0.8226563334465027,0.34032131504850327,22.526393954942016,0.428592860322269,0.290985107421875,0.46237093210220337
comp4_ft,joint_quad_comp,2022101102,6,0,100,30.0,DPS,,14.540052652359009,100,0.1149051575265985,28.527066671799638,0.8363779067574937,0.2725277841091156,0.8294228911399841,0.326366968345459,23.447441333434178,0.45948486774454345,0.31671142578125,0.45889243483543396
comp4_ft,joint_quad_comp,2022101103,8,0,100,30.0,DPS,,14.492709636688232,100,0.1224024921906799,27.16332490514685,0.7741918645394201,0.29284703731536865,0.9163113832473755,0.3469098424492979,22.723251560954946,0.4376685308134785,0.2850341796875,0.49322155117988586
comp4_ft,joint_quad_comp,2022101103,9,0,100,30.0,DPS,,14.993782758712769,100,0.11914886324767153,26.96224324262317,0.774868811846058,0.27893295884132385,0.856133222579956,0.3445756313148677,22.254625165212897,0.41929290182553425,0.276763916015625,0.4776495695114136
comp4_ft,joint_quad_comp,2022101103,10,0,100,30.0,DPS,,14.293017387390137,100,0.12414924077937808,27.402874507776957,0.7436210359579571,0.2723219096660614,0.870762288570404,0.33586918332039933,22.86657257202419,0.42362864769339187,0.271453857421875,0.47372448444366455
comp4_ft,joint_quad_comp,2022101201,8,0,100,30.0,DPS,,14.865970611572266,100,0.11695274315236437,27.796850593139308,0.8018493873914005,0.2598159909248352,0.8572753071784973,0.3259696412641963,23.553184780094934,0.42017561277912285,0.2722625732421875,0.44695907831192017
comp4_ft,joint_quad_comp,2022101201,9,0,100,30.0,DPS,,14.216628074645996,100,0.11695494790415094,26.944078111846977,0.783977786033967,0.26102039217948914,0.8344119191169739,0.3363366495362909,22.471406931004125,0.394692809807106,0.266693115234375,0.45384541153907776
comp4_ft,joint_quad_comp,2022101201,10,0,100,30.0,DPS,,14.955797672271729,100,0.1282535583142676,25.979667321275134,0.7555860515884251,0.25334054231643677,0.8727042078971863,0.32706998651814134,22.87593647133678,0.40764323341510417,0.2415313720703125,0.4481968283653259
comp4_ft,joint_quad_comp,2022101301,11,0,100,30.0,DPS,,14.209622144699097,100,0.12189971812549018,26.344111322495827,0.726343341593869,0.2640891969203949,0.8416427373886108,0.32395548718546907,22.351897320821376,0.40976093470530217,0.2442474365234375,0.4536428153514862
comp4_ft,joint_quad_comp,2022101301,12,0,100,30.0,DPS,,14.967902183532715,100,0.12298134130804232,25.937645782947843,0.7099759954865632,0.2597823143005371,0.8645905256271362,0.3234815400745624,22.259559626662316,0.4041110847055203,0.200042724609375,0.44920921325683594
comp4_ft,joint_quad_comp,2022101301,13,0,100,30.0,DPS,,14.272671699523926,100,0.12610509892602442,25.46946089562119,0.6577331375113586,0.26033931970596313,0.8266913294792175,0.32655205138078475,22.14341850538258,0.3974206691221792,0.173065185546875,0.4518407881259918
comp4_ft,joint_quad_comp,2022101303,8,0,100,30.0,DPS,,15.004436492919922,100,0.10910235582135928,27.00582980814928,0.8954340291626119,0.24527591466903687,0.77621990442276,0.3031557781024239,24.211043446676626,0.4443747788697552,0.0517425537109375,0.4247131943702698
comp4_ft,joint_quad_comp,2022101303,9,0,100,30.0,DPS,,14.25705075263977,100,0.1120522655204046,27.461337517131973,0.8591463299424268,0.24358730018138885,0.7973198890686035,0.30860467774258543,23.79990858254445,0.4328393896038793,0.0641937255859375,0.42580464482307434
comp4_ft,joint_quad_comp,2022101303,10,0,100,30.0,DPS,,15.018558979034424,100,0.11204210950686892,26.613915238046655,0.8577199760490682,0.24751520156860352,0.8029600977897644,0.30479688615031897,24.01671190684641,0.45330347862489934,0.109771728515625,0.43033602833747864
comp4_ft,joint_quad_comp,2022112704,8,0,100,30.0,DPS,,14.239917993545532,100,0.11739480148912183,28.756360197141582,0.8242847672705503,0.25577598810195923,0.8118443489074707,0.31247977203359756,24.616758797866186,0.4623435479444121,0.2573699951171875,0.44278571009635925
comp4_ft,joint_quad_comp,2022112704,9,0,100,30.0,DPS,,15.005014181137085,100,0.11625660166338649,28.84748451994286,0.7924968804815675,0.2623631954193115,0.8394785523414612,0.3195834974615353,24.236573582834122,0.44397624925052304,0.27520751953125,0.45282498002052307
comp4_ft,joint_quad_comp,2022112704,10,0,100,30.0,DPS,,14.31991720199585,100,0.12265784073394354,27.756683754655754,0.7569452925587395,0.26268237829208374,0.8530747890472412,0.31779095980856076,23.833686040273435,0.4437078674124519,0.2538604736328125,0.4538424611091614
comp4_ft,joint_quad_comp,2022120401,8,0,100,30.0,DPS,,15.009191036224365,100,0.11984092871916886,28.054413600712135,0.7952439817742957,0.26913896203041077,0.8388542532920837,0.3295543688477277,23.432661963465556,0.4468004298238599,0.3004150390625,0.4653347134590149
comp4_ft,joint_quad_comp,2022120401,9,0,100,30.0,DPS,,14.215180397033691,100,0.12057629271164676,27.554602292838215,0.7669614727948778,0.26564857363700867,0.8200567364692688,0.33317785783974974,22.931427724765708,0.4272565300214805,0.29266357421875,0.4696064591407776
