method,subject_id,nrmse,psnr,ssim,measured_kspace_err,heldout_kspace_err,runtime_seconds,num_net_evals,heldout_kspace_err_allcoef,ssim_fullfov,nrmse_fullfov,psnr_fullfov,brain_fraction
M0,2022101101,0.2121790829957708,21.959756920282654,0.5403418172005576,0.18302858372529343,0.9815299113591512,0.012888113657633399,0.0,0.5256798466046652,0.3648750403962988,0.3772378568482749,21.5096666463529,0.253021240234375
M0,2022101102,0.2180259353248287,21.547185251808315,0.5495305562054993,0.17335559924443558,0.9801484942436218,0.011583487192789668,0.0,0.5088878671328226,0.40683534530202764,0.34598948627346676,22.48202286900499,0.290924072265625
M0,2022101103,0.21650469039586298,22.18863003059771,0.5435080288558592,0.192530483007431,0.9844767053922018,0.011202176411946534,0.0,0.5429971019426981,0.36633288030407213,0.3850825894489371,21.596228697842736,0.2777506510416667
M0,2022101201,0.23825833410560457,21.008709509949018,0.5229163468302164,0.1817717999219894,0.9827710191408793,0.0105061531066894,0.0,0.5057923098405203,0.32629387844454144,0.3809624858458503,21.715167920755007,0.260162353515625
M0,2022101204,0.24846396760988007,21.66105055978916,0.5048398787964622,0.16945983469486228,0.9856307903925577,0.009922345479329367,0.0,0.526216725508372,0.33416763086071527,0.39879897625861704,21.90249440010543,0.2785237630208333
M0,2022101301,0.22236120042071028,22.322725123222156,0.5248421960283474,0.189440444111824,0.983690599600474,0.009919643402099566,0.0,0.5349274476369222,0.3454721320208988,0.38924192519614026,21.669365159887672,0.2718658447265625
M0,2022101302,0.23774913037871634,20.83941500564843,0.5058874548613366,0.1879539291063944,0.9868428111076355,0.009840250015258734,0.0,0.5324190457661947,0.34677227205276545,0.38062331896009277,21.230483607617654,0.22681172688802084
M0,2022101303,0.2647284927198601,19.50464693779131,0.5290479637409725,0.17065589129924771,0.9800868630409241,0.012549877166747969,0.0,0.5114420851071676,0.3324092777904574,0.3891954430931972,21.907440611973403,0.07523600260416667
M0,2022112702,0.21421820570729985,22.438668505404966,0.505322737969232,0.17216057082017258,0.9868543346722921,0.0116230646769205,0.0,0.5160409410794576,0.33317672881885524,0.38599915471904084,21.955799392671995,0.24625651041666666
M0,2022112704,0.24088144180573776,22.3184820307987,0.5257431884517396,0.18070060511430097,0.9845988353093466,0.011666615804036433,0.0,0.5250765879948934,0.35837036967937785,0.38730641791709947,22.47921734850348,0.26214599609375
M0,2022120401,0.2298861149756454,22.193359898218404,0.5240293702700368,0.17638148367404938,0.989109992980957,0.010710159937540632,0.0,0.5187760392824808,0.37537696610958965,0.36772787417117975,22.335602772638495,0.2919209798177083
M0,2022120402,0.20554852516551245,22.3330793361939,0.49933862885400115,0.17869354287783304,0.9850281874338785,0.010489861170450832,0.0,0.5314735571543375,0.34929345952748836,0.3813775972050489,21.42309796422754,0.24783833821614584
M0,2022120403,0.2203516955079832,22.286505598554516,0.5054818789720862,0.1668492257595062,0.9916327595710754,0.0099825859069824,0.0,0.515276292959849,0.36427617411627544,0.36717250346303776,22.08713452140694,0.2789764404296875
M0,2022120404,0.20955082325094157,23.000231669671305,0.5322358719692265,0.17408868173758182,0.9889561335245768,0.010082880655924433,0.0,0.5050864219665527,0.37831183872086166,0.35889813664538917,22.702159347327335,0.25665283203125
M0,2022120406,0.2296290866851197,21.179441761137266,0.4973357111090937,0.17319454749425248,0.9870398839314779,0.010436932245890268,0.0,0.5173234939575195,0.3856976904073226,0.3659876615262221,22.11665016423132,0.2366943359375
M0,2022120407,0.22523199722520726,22.097573071831487,0.5243678419005288,0.1771760483582814,0.9850222071011862,0.011064926783243735,0.0,0.5197449326515198,0.37278250282966835,0.37535392277952706,22.01154463109802,0.2529856363932292
M0,2022120408,0.22782072307544354,21.46994105175541,0.5237722567692834,0.18095450103282926,0.9792248209317526,0.011647860209147065,0.0,0.5184466441472372,0.38466052754949653,0.3692368545116178,21.409914275056583,0.24932861328125
M0,2022120409,0.21442128166361882,22.7987965277815,0.5312890538164133,0.17594720919926957,0.9838424126307169,0.010387818018595334,0.0,0.5253472725550333,0.3440356451025021,0.38757777672333305,21.852064895923103,0.2844441731770833
M0,2022121701,0.21968848266283228,20.898096172854846,0.4982018009353076,0.18198684354623154,0.9848436514536539,0.0112868150075276,0.0,0.526322066783905,0.3764382994792534,0.37088338042343594,21.634934734781382,0.20310465494791666
