method,condition,subject_id,slice_id,seed,num_steps,l_ss,likelihood_type,lambda,runtime_seconds,num_net_evals,nrmse,psnr,ssim,measured_kspace_err,heldout_kspace_err,nrmse_fullfov,psnr_fullfov,ssim_fullfov,brain_fraction,heldout_kspace_err_allcoef
M0,merge_fixed,2022101101,8,0,0,,,,0.014219284057617188,0,0.2096419691536456,22.583220389374404,0.5731052679137268,0.20496347546577454,0.9737260341644287,0.38373867420866875,21.39063974472334,0.37823188911162386,0.271240234375,0.5415068864822388
M0,merge_fixed,2022101101,9,0,0,,,,0.012036561965942383,0,0.21488617173265,21.713502326478324,0.48855832879077676,0.17071717977523804,0.9922823309898376,0.39064475338456406,20.576046442229977,0.32909633156279355,0.25335693359375,0.5337327718734741
M0,merge_fixed,2022101101,10,0,0,,,,0.01240849494934082,0,0.21200910810101678,21.582548044995235,0.5593618548971694,0.17340509593486786,0.9785813689231873,0.357330142951592,22.56231375210539,0.387296900514479,0.234466552734375,0.5017998814582825
M0,merge_fixed,2022101102,8,0,0,,,,0.011775016784667969,0,0.23109335887612403,21.700995326403852,0.5505178178054166,0.17724871635437012,0.9808632731437683,0.3622964985160291,22.533064345322092,0.4032244703486273,0.3021697998046875,0.5317638516426086
M0,merge_fixed,2022101102,9,0,0,,,,0.011813879013061523,0,0.2132917870609136,21.55962323201436,0.5789752529823446,0.18171919882297516,0.9736974239349365,0.3485543699310719,22.544299689944406,0.4093240324516412,0.29736328125,0.510213315486908
M0,merge_fixed,2022101102,10,0,0,,,,0.011161565780639648,0,0.2096926600374484,21.38093719700674,0.5190985978287366,0.1610988825559616,0.9858847856521606,0.3271175903732993,22.368704571748466,0.4079575331058144,0.2732391357421875,0.4846864342689514
M0,merge_fixed,2022101103,8,0,0,,,,0.011864423751831055,0,0.22168645965148784,22.00434697919471,0.5516586170473582,0.19844186305999756,0.9880186319351196,0.38885660442850967,21.73179447530601,0.3794918302900125,0.2850341796875,0.5566996932029724
M0,merge_fixed,2022101103,9,0,0,,,,0.009795188903808594,0,0.21919641339616755,21.66737229798151,0.5435203809402828,0.1899782419204712,0.9819703698158264,0.390797852323463,21.16127288786949,0.3493912038106283,0.276763916015625,0.5408312678337097
M0,merge_fixed,2022101103,10,0,0,,,,0.011946916580200195,0,0.20863119813993378,22.89417081461691,0.535345088579937,0.18917134404182434,0.9834411144256592,0.3755933115948385,21.895618730352705,0.37011560681157557,0.271453857421875,0.5314603447914124
M0,merge_fixed,2022101201,8,0,0,,,,0.010277748107910156,0,0.2581091042507795,20.92099264397167,0.5316398231845938,0.18426041305065155,0.9863530397415161,0.39129135461328063,21.96672308859469,0.328420947402821,0.2722625732421875,0.5162103176116943
M0,merge_fixed,2022101201,9,0,0,,,,0.010790348052978516,0,0.22455846081614664,21.27786126781038,0.5341811429116179,0.18259276449680328,0.975936770439148,0.38043218379093624,21.40134541469098,0.314706977566165,0.266693115234375,0.5031412243843079
M0,merge_fixed,2022101201,10,0,0,,,,0.010450363159179688,0,0.23210743724988764,20.827274618065005,0.5029280743944374,0.1784622222185135,0.9860232472419739,0.37116391913333424,21.77743525897935,0.3357537103646383,0.2415313720703125,0.49802538752555847
M0,merge_fixed,2022101204,8,0,0,,,,0.00995182991027832,0,0.26909677117777087,21.028354024005722,0.4876779226083679,0.17045986652374268,0.9879570007324219,0.41268801254753623,21.492283885714723,0.32599334068790187,0.2927398681640625,0.5413118600845337
M0,merge_fixed,2022101204,9,0,0,,,,0.008619308471679688,0,0.24142037698551894,22.046412202303443,0.5082102820973777,0.16838762164115906,0.9829141497612,0.3975512335326472,22.138179061671558,0.3272217434455324,0.271881103515625,0.5228225588798523
M0,merge_fixed,2022101204,10,0,0,,,,0.011195898056030273,0,0.23487475466635052,21.90838545305832,0.5186314316836409,0.16953201591968536,0.9860212206840515,0.3861576826956677,22.077020252930012,0.3492878084487116,0.2709503173828125,0.51451575756073
