method,description,views,lines,unique_cols,coverage,ssim_mean,ssim_ci_lo,ssim_ci_hi,nrmse_mean,nrmse_ci_lo,nrmse_ci_hi,heldout_kspace_err_mean,heldout_kspace_err_ci_lo,heldout_kspace_err_ci_hi
dup2_merge,"2x duplicated, merged",2,128,64,0.25,0.6541611322158345,0.6394350074009418,0.6712677451999185,0.1668104081262009,0.1621924677336803,0.1715402551853737,0.8639429267247519,0.8558616637388864,0.8714371331135433
dup2_ft,"2x duplicated, xview-FT",2,128,64,0.25,0.6628216820175701,0.6466061289950439,0.6817986973517433,0.1648197900147401,0.1599291538172734,0.1697833096835104,0.8573737819989522,0.8492043878237406,0.8649459696809453
comp2_merge,"2x complementary, merged",2,128,112,0.438,0.7058853303915612,0.6929124008222336,0.7218266306487967,0.1492579629778944,0.1446586319611823,0.1540618091826039,0.8483782052993775,0.8402173893849054,0.856145596941312
comp2_ft,"2x complementary, xview-FT",2,128,112,0.438,0.704186660793542,0.6907603693827532,0.7202094212579724,0.1493825889202602,0.1451759853364558,0.1537171562751891,0.8480106568336488,0.8399833859006562,0.8555669048627218
fcomp2_merge,"2x fully-complementary, merged",2,128,128,0.5,0.7066906781583283,0.6943894264506056,0.7221978352846218,0.1485929978030176,0.1446156896594976,0.1527272854429357,0.8457840466499329,0.8373996773163478,0.8536164490580559
fcomp2_ft,"2x fully-complementary, xview-FT",2,128,128,0.5,0.7082962585537507,0.6956829946029289,0.7236158105144824,0.1485282348679192,0.1447334259154882,0.1524860584114275,0.8439826536178588,0.835515830775102,0.8519436307748158
